RHEA_ID	Name
RHEA:14557	H2O + raucaffricine = D-glucose + vomilenine
RHEA:14558	H2O + raucaffricine => D-glucose + vomilenine
RHEA:14559	D-glucose + vomilenine => H2O + raucaffricine
RHEA:14560	H2O + raucaffricine <=> D-glucose + vomilenine
RHEA:14561	(E,E)-piperoyl-CoA + piperidine = CoA + H(+) + N-[(E,E)-piperoyl]piperidine
RHEA:14562	(E,E)-piperoyl-CoA + piperidine => CoA + H(+) + N-[(E,E)-piperoyl]piperidine
RHEA:14563	CoA + H(+) + N-[(E,E)-piperoyl]piperidine => (E,E)-piperoyl-CoA + piperidine
RHEA:14564	(E,E)-piperoyl-CoA + piperidine <=> CoA + H(+) + N-[(E,E)-piperoyl]piperidine
RHEA:14565	(11Z)-hexadecenoyl-[ACP] + H(+) + malonyl-[ACP] = 3-oxo-(13Z)-octadecenoyl-[ACP] + CO2 + holo-[ACP]
RHEA:14566	(11Z)-hexadecenoyl-[ACP] + H(+) + malonyl-[ACP] => 3-oxo-(13Z)-octadecenoyl-[ACP] + CO2 + holo-[ACP]
RHEA:14567	3-oxo-(13Z)-octadecenoyl-[ACP] + CO2 + holo-[ACP] => (11Z)-hexadecenoyl-[ACP] + H(+) + malonyl-[ACP]
RHEA:14568	(11Z)-hexadecenoyl-[ACP] + H(+) + malonyl-[ACP] <=> 3-oxo-(13Z)-octadecenoyl-[ACP] + CO2 + holo-[ACP]
RHEA:14569	propane-1,2-diol = 1-propanal + H2O
RHEA:14570	propane-1,2-diol => 1-propanal + H2O
RHEA:14571	1-propanal + H2O => propane-1,2-diol
RHEA:14572	propane-1,2-diol <=> 1-propanal + H2O
RHEA:14573	D-glucarate = 5-dehydro-4-deoxy-D-glucarate + H2O
RHEA:14574	D-glucarate => 5-dehydro-4-deoxy-D-glucarate + H2O
RHEA:14575	5-dehydro-4-deoxy-D-glucarate + H2O => D-glucarate
RHEA:14576	D-glucarate <=> 5-dehydro-4-deoxy-D-glucarate + H2O
RHEA:14577	(R)-carnitine = crotonobetaine + H2O
RHEA:14578	(R)-carnitine => crotonobetaine + H2O
RHEA:14579	crotonobetaine + H2O => (R)-carnitine
RHEA:14580	(R)-carnitine <=> crotonobetaine + H2O
RHEA:14581	H(+) + 2 monodehydro-L-ascorbate radical + NADH = 2 L-ascorbate + NAD(+)
RHEA:14582	H(+) + 2 monodehydro-L-ascorbate radical + NADH => 2 L-ascorbate + NAD(+)
RHEA:14583	2 L-ascorbate + NAD(+) => H(+) + 2 monodehydro-L-ascorbate radical + NADH
RHEA:14584	H(+) + 2 monodehydro-L-ascorbate radical + NADH <=> 2 L-ascorbate + NAD(+)
RHEA:14589	luteolin + S-adenosyl-L-methionine = 4',5,7-trihydroxy-3'-methoxyflavone + H(+) + S-adenosyl-L-homocysteine
RHEA:14590	luteolin + S-adenosyl-L-methionine => 4',5,7-trihydroxy-3'-methoxyflavone + H(+) + S-adenosyl-L-homocysteine
RHEA:14591	4',5,7-trihydroxy-3'-methoxyflavone + H(+) + S-adenosyl-L-homocysteine => luteolin + S-adenosyl-L-methionine
RHEA:14592	luteolin + S-adenosyl-L-methionine <=> 4',5,7-trihydroxy-3'-methoxyflavone + H(+) + S-adenosyl-L-homocysteine
RHEA:14593	a 1,2-diacyl-sn-glycerol + CDP-ethanolamine = 1,2-diacylglycero-3-phosphoethanolamine + CMP + H(+)
RHEA:14594	a 1,2-diacyl-sn-glycerol + CDP-ethanolamine => 1,2-diacylglycero-3-phosphoethanolamine + CMP + H(+)
RHEA:14595	1,2-diacylglycero-3-phosphoethanolamine + CMP + H(+) => a 1,2-diacyl-sn-glycerol + CDP-ethanolamine
RHEA:14596	a 1,2-diacyl-sn-glycerol + CDP-ethanolamine <=> 1,2-diacylglycero-3-phosphoethanolamine + CMP + H(+)
RHEA:14597	a CDP-1,2-diacyl-sn-glycerol + choline = a 1,2-diacyl-sn-glycero-3-phosphocholine + CMP + H(+)
RHEA:14598	a CDP-1,2-diacyl-sn-glycerol + choline => a 1,2-diacyl-sn-glycero-3-phosphocholine + CMP + H(+)
RHEA:14599	a 1,2-diacyl-sn-glycero-3-phosphocholine + CMP + H(+) => a CDP-1,2-diacyl-sn-glycerol + choline
RHEA:14600	a CDP-1,2-diacyl-sn-glycerol + choline <=> a 1,2-diacyl-sn-glycero-3-phosphocholine + CMP + H(+)
RHEA:14601	L-lysine + O2 = 5-aminopentanamide + CO2 + H2O
RHEA:14602	L-lysine + O2 => 5-aminopentanamide + CO2 + H2O
RHEA:14603	5-aminopentanamide + CO2 + H2O => L-lysine + O2
RHEA:14604	L-lysine + O2 <=> 5-aminopentanamide + CO2 + H2O
RHEA:14605	D-glucose 6-phosphate + GDP-alpha-D-glucose = alpha,alpha-trehalose 6-phosphate + GDP + H(+)
RHEA:14606	D-glucose 6-phosphate + GDP-alpha-D-glucose => alpha,alpha-trehalose 6-phosphate + GDP + H(+)
RHEA:14607	alpha,alpha-trehalose 6-phosphate + GDP + H(+) => D-glucose 6-phosphate + GDP-alpha-D-glucose
RHEA:14608	D-glucose 6-phosphate + GDP-alpha-D-glucose <=> alpha,alpha-trehalose 6-phosphate + GDP + H(+)
RHEA:14609	D-sorbitol + NADP(+) = H(+) + L-sorbopyranose + NADPH
RHEA:14610	D-sorbitol + NADP(+) => H(+) + L-sorbopyranose + NADPH
RHEA:14611	H(+) + L-sorbopyranose + NADPH => D-sorbitol + NADP(+)
RHEA:14612	D-sorbitol + NADP(+) <=> H(+) + L-sorbopyranose + NADPH
RHEA:14613	ATP + H2O + taurine(out) = ADP + H(+) + phosphate + taurine(in)
RHEA:14614	ATP + H2O + taurine(out) => ADP + H(+) + phosphate + taurine(in)
RHEA:14615	ADP + H(+) + phosphate + taurine(in) => ATP + H2O + taurine(out)
RHEA:14616	ATP + H2O + taurine(out) <=> ADP + H(+) + phosphate + taurine(in)
RHEA:14617	CoA + glutathione + NADP(+) = CoA-glutathione + H(+) + NADPH
RHEA:14618	CoA + glutathione + NADP(+) => CoA-glutathione + H(+) + NADPH
RHEA:14619	CoA-glutathione + H(+) + NADPH => CoA + glutathione + NADP(+)
RHEA:14620	CoA + glutathione + NADP(+) <=> CoA-glutathione + H(+) + NADPH
RHEA:14621	(S)-2,3-epoxysqualene = lanosterol
RHEA:14622	(S)-2,3-epoxysqualene => lanosterol
RHEA:14623	lanosterol => (S)-2,3-epoxysqualene
