RHEA_ID	Name
RHEA:19163	2 6-iminocyclohexa-2,4-dienone + 2 H2O => 2 2-aminophenol + O2
RHEA:19164	2 2-aminophenol + O2 <=> 2 6-iminocyclohexa-2,4-dienone + 2 H2O
RHEA:19165	a 1,2-diacyl-3-O-(alpha-D-glucopyranosyl)-sn-glycerol + UDP-alpha-D-glucose = 1,2-diacyl-3-O-[alpha-D-glucosyl-(1-> 2)-alpha-D-glucosyl]-sn-glycerol + H(+) + UDP
RHEA:19166	a 1,2-diacyl-3-O-(alpha-D-glucopyranosyl)-sn-glycerol + UDP-alpha-D-glucose => 1,2-diacyl-3-O-[alpha-D-glucosyl-(1-> 2)-alpha-D-glucosyl]-sn-glycerol + H(+) + UDP
RHEA:19167	1,2-diacyl-3-O-[alpha-D-glucosyl-(1-> 2)-alpha-D-glucosyl]-sn-glycerol + H(+) + UDP => a 1,2-diacyl-3-O-(alpha-D-glucopyranosyl)-sn-glycerol + UDP-alpha-D-glucose
RHEA:19168	a 1,2-diacyl-3-O-(alpha-D-glucopyranosyl)-sn-glycerol + UDP-alpha-D-glucose <=> 1,2-diacyl-3-O-[alpha-D-glucosyl-(1-> 2)-alpha-D-glucosyl]-sn-glycerol + H(+) + UDP
RHEA:19169	L-serine = NH4(+) + pyruvate
RHEA:19170	L-serine => NH4(+) + pyruvate
RHEA:19171	NH4(+) + pyruvate => L-serine
RHEA:19172	L-serine <=> NH4(+) + pyruvate
RHEA:19173	H(+) + NADH + naphthalene + O2 = (1R,2S)-1,2-dihydronaphthalene-1,2-diol + NAD(+)
RHEA:19174	H(+) + NADH + naphthalene + O2 => (1R,2S)-1,2-dihydronaphthalene-1,2-diol + NAD(+)
RHEA:19175	(1R,2S)-1,2-dihydronaphthalene-1,2-diol + NAD(+) => H(+) + NADH + naphthalene + O2
RHEA:19176	H(+) + NADH + naphthalene + O2 <=> (1R,2S)-1,2-dihydronaphthalene-1,2-diol + NAD(+)
RHEA:19177	L-lysine = (3S)-3,6-diaminohexanoate
RHEA:19178	L-lysine => (3S)-3,6-diaminohexanoate
RHEA:19179	(3S)-3,6-diaminohexanoate => L-lysine
RHEA:19180	L-lysine <=> (3S)-3,6-diaminohexanoate
RHEA:19181	a very-long-chain 2,3-saturated fatty acyl-CoA + H(+) + oxidized [electron-transfer flavoprotein] = a very-long-chain (2E)-enoyl-CoA + reduced [electron-transfer flavoprotein]
RHEA:19182	a very-long-chain 2,3-saturated fatty acyl-CoA + H(+) + oxidized [electron-transfer flavoprotein] => a very-long-chain (2E)-enoyl-CoA + reduced [electron-transfer flavoprotein]
RHEA:19183	a very-long-chain (2E)-enoyl-CoA + reduced [electron-transfer flavoprotein] => a very-long-chain 2,3-saturated fatty acyl-CoA + H(+) + oxidized [electron-transfer flavoprotein]
RHEA:19184	a very-long-chain 2,3-saturated fatty acyl-CoA + H(+) + oxidized [electron-transfer flavoprotein] <=> a very-long-chain (2E)-enoyl-CoA + reduced [electron-transfer flavoprotein]
RHEA:19185	glyoxylate + H2O + propanoyl-CoA = 2-hydroxyglutarate + CoA + H(+)
RHEA:19186	glyoxylate + H2O + propanoyl-CoA => 2-hydroxyglutarate + CoA + H(+)
RHEA:19187	2-hydroxyglutarate + CoA + H(+) => glyoxylate + H2O + propanoyl-CoA
RHEA:19188	glyoxylate + H2O + propanoyl-CoA <=> 2-hydroxyglutarate + CoA + H(+)
RHEA:19189	[dihydrolipoyllysine-residue acetyltransferase]-(R)-N(6)-lipoyl-L-lysine + H(+) + pyruvate = [dihydrolipoyllysine-residue acetyltransferase]-(R)-N(6)-(S(8)-acetyldihydrolipoyl)-L-lysine + CO2
RHEA:19190	[dihydrolipoyllysine-residue acetyltransferase]-(R)-N(6)-lipoyl-L-lysine + H(+) + pyruvate => [dihydrolipoyllysine-residue acetyltransferase]-(R)-N(6)-(S(8)-acetyldihydrolipoyl)-L-lysine + CO2
RHEA:19191	[dihydrolipoyllysine-residue acetyltransferase]-(R)-N(6)-(S(8)-acetyldihydrolipoyl)-L-lysine + CO2 => [dihydrolipoyllysine-residue acetyltransferase]-(R)-N(6)-lipoyl-L-lysine + H(+) + pyruvate
RHEA:19192	[dihydrolipoyllysine-residue acetyltransferase]-(R)-N(6)-lipoyl-L-lysine + H(+) + pyruvate <=> [dihydrolipoyllysine-residue acetyltransferase]-(R)-N(6)-(S(8)-acetyldihydrolipoyl)-L-lysine + CO2
RHEA:19193	A + all-trans-13,14-dihydroretinol = AH2 + all-trans-retinol
RHEA:19194	A + all-trans-13,14-dihydroretinol => AH2 + all-trans-retinol
RHEA:19195	AH2 + all-trans-retinol => A + all-trans-13,14-dihydroretinol
RHEA:19196	A + all-trans-13,14-dihydroretinol <=> AH2 + all-trans-retinol
RHEA:19197	adenosine 5'-phosphosulfate + NH4(+) = adenosine 5'-phosphoramidate + 2 H(+) + sulfate
RHEA:19198	adenosine 5'-phosphosulfate + NH4(+) => adenosine 5'-phosphoramidate + 2 H(+) + sulfate
RHEA:19199	adenosine 5'-phosphoramidate + 2 H(+) + sulfate => adenosine 5'-phosphosulfate + NH4(+)
RHEA:19200	adenosine 5'-phosphosulfate + NH4(+) <=> adenosine 5'-phosphoramidate + 2 H(+) + sulfate
RHEA:19201	2'-deoxyguanosine + ATP = ADP + dGMP + H(+)
RHEA:19202	2'-deoxyguanosine + ATP => ADP + dGMP + H(+)
RHEA:19203	ADP + dGMP + H(+) => 2'-deoxyguanosine + ATP
RHEA:19204	2'-deoxyguanosine + ATP <=> ADP + dGMP + H(+)
RHEA:19205	dCTP + 2 H2O = diphosphate + dUMP + NH4(+)
RHEA:19206	dCTP + 2 H2O => diphosphate + dUMP + NH4(+)
RHEA:19207	diphosphate + dUMP + NH4(+) => dCTP + 2 H2O
RHEA:19208	dCTP + 2 H2O <=> diphosphate + dUMP + NH4(+)
RHEA:19209	codeine + NADP(+) = codeinone + H(+) + NADPH
RHEA:19210	codeine + NADP(+) => codeinone + H(+) + NADPH
RHEA:19211	codeinone + H(+) + NADPH => codeine + NADP(+)
RHEA:19212	codeine + NADP(+) <=> codeinone + H(+) + NADPH
RHEA:19213	acetyl-CoA + an S-substituted L-cysteine = an N-acetyl-L-cysteine-S-conjugate + CoA + H(+)
RHEA:19214	acetyl-CoA + an S-substituted L-cysteine => an N-acetyl-L-cysteine-S-conjugate + CoA + H(+)
RHEA:19215	an N-acetyl-L-cysteine-S-conjugate + CoA + H(+) => acetyl-CoA + an S-substituted L-cysteine
RHEA:19216	acetyl-CoA + an S-substituted L-cysteine <=> an N-acetyl-L-cysteine-S-conjugate + CoA + H(+)
RHEA:19217	1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane = 1,1-dichloro-2,2-bis(4-chlorophenyl)ethylene + chloride + H(+)
RHEA:19218	1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane => 1,1-dichloro-2,2-bis(4-chlorophenyl)ethylene + chloride + H(+)
RHEA:19219	1,1-dichloro-2,2-bis(4-chlorophenyl)ethylene + chloride + H(+) => 1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane
RHEA:19220	1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane <=> 1,1-dichloro-2,2-bis(4-chlorophenyl)ethylene + chloride + H(+)
RHEA:19221	2 formaldehyde + H2O = formate + H(+) + methanol
RHEA:19222	2 formaldehyde + H2O => formate + H(+) + methanol
RHEA:19223	formate + H(+) + methanol => 2 formaldehyde + H2O
RHEA:19224	2 formaldehyde + H2O <=> formate + H(+) + methanol
RHEA:19225	[formate C-acetyltransferase]-glycine + reduced [flavodoxin] + S-adenosyl-L-methionine = 5'-deoxyadenosine + [formate C-acetyltransferase]-glycin-2-yl radical + H(+) + L-methionine + semiquinone [flavodoxin]
RHEA:19226	[formate C-acetyltransferase]-glycine + reduced [flavodoxin] + S-adenosyl-L-methionine => 5'-deoxyadenosine + [formate C-acetyltransferase]-glycin-2-yl radical + H(+) + L-methionine + semiquinone [flavodoxin]
RHEA:19227	5'-deoxyadenosine + [formate C-acetyltransferase]-glycin-2-yl radical + H(+) + L-methionine + semiquinone [flavodoxin] => [formate C-acetyltransferase]-glycine + reduced [flavodoxin] + S-adenosyl-L-methionine
RHEA:19228	[formate C-acetyltransferase]-glycine + reduced [flavodoxin] + S-adenosyl-L-methionine <=> 5'-deoxyadenosine + [formate C-acetyltransferase]-glycin-2-yl radical + H(+) + L-methionine + semiquinone [flavodoxin]
RHEA:19229	AMP + an aromatic aldehyde + diphosphate + NADP(+) = an aromatic carboxylate + ATP + H(+) + NADPH
RHEA:19230	AMP + an aromatic aldehyde + diphosphate + NADP(+) => an aromatic carboxylate + ATP + H(+) + NADPH
RHEA:19231	an aromatic carboxylate + ATP + H(+) + NADPH => AMP + an aromatic aldehyde + diphosphate + NADP(+)
