RHEA_ID	Name
RHEA:34165	(2E,4Z)-4-hydroxy-6-oxohexa-2,4-dienoate + H(+) => hydroquinone + O2
RHEA:34166	hydroquinone + O2 <=> (2E,4Z)-4-hydroxy-6-oxohexa-2,4-dienoate + H(+)
RHEA:34167	2,6-dihydroxypseudooxynicotine + H2O = 2,6-dihydroxypyridine + 4-(methylamino)butanoate + H(+)
RHEA:34168	2,6-dihydroxypseudooxynicotine + H2O => 2,6-dihydroxypyridine + 4-(methylamino)butanoate + H(+)
RHEA:34169	2,6-dihydroxypyridine + 4-(methylamino)butanoate + H(+) => 2,6-dihydroxypseudooxynicotine + H2O
RHEA:34170	2,6-dihydroxypseudooxynicotine + H2O <=> 2,6-dihydroxypyridine + 4-(methylamino)butanoate + H(+)
RHEA:34171	L-aspartate 4-semialdehyde + pyruvate = (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H(+) + H2O
RHEA:34172	L-aspartate 4-semialdehyde + pyruvate => (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H(+) + H2O
RHEA:34173	(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H(+) + H2O => L-aspartate 4-semialdehyde + pyruvate
RHEA:34174	L-aspartate 4-semialdehyde + pyruvate <=> (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H(+) + H2O
RHEA:34175	2-hydroxybenzoyl-CoA + malonyl-CoA = 4-hydroxycoumarin + CO2 + 2 CoA
RHEA:34176	2-hydroxybenzoyl-CoA + malonyl-CoA => 4-hydroxycoumarin + CO2 + 2 CoA
RHEA:34177	4-hydroxycoumarin + CO2 + 2 CoA => 2-hydroxybenzoyl-CoA + malonyl-CoA
RHEA:34178	2-hydroxybenzoyl-CoA + malonyl-CoA <=> 4-hydroxycoumarin + CO2 + 2 CoA
RHEA:34179	H2O + mycophenolic acid O-acyl-glucuronide = D-glucuronate + H(+) + mycophenolate
RHEA:34180	H2O + mycophenolic acid O-acyl-glucuronide => D-glucuronate + H(+) + mycophenolate
