RHEA_ID	Name
RHEA:10000	H2O + pentanamide = NH4(+) + pentanoate
RHEA:10001	H2O + pentanamide => NH4(+) + pentanoate
RHEA:10002	NH4(+) + pentanoate => H2O + pentanamide
RHEA:10003	H2O + pentanamide <=> NH4(+) + pentanoate
RHEA:10004	benzyl isothiocyanate = benzyl thiocyanate
RHEA:10005	benzyl isothiocyanate => benzyl thiocyanate
RHEA:10006	benzyl thiocyanate => benzyl isothiocyanate
RHEA:10007	benzyl isothiocyanate <=> benzyl thiocyanate
RHEA:10008	[protein]-dithiol + an hydroperoxide = [protein]-disulfide + an alcohol + H2O
RHEA:10009	[protein]-dithiol + an hydroperoxide => [protein]-disulfide + an alcohol + H2O
RHEA:10010	[protein]-disulfide + an alcohol + H2O => [protein]-dithiol + an hydroperoxide
RHEA:10011	[protein]-dithiol + an hydroperoxide <=> [protein]-disulfide + an alcohol + H2O
RHEA:10012	(R)-6-hydroxynicotine + H2O + O2 = 6-hydroxypseudooxynicotine + H2O2
RHEA:10013	(R)-6-hydroxynicotine + H2O + O2 => 6-hydroxypseudooxynicotine + H2O2
RHEA:10014	6-hydroxypseudooxynicotine + H2O2 => (R)-6-hydroxynicotine + H2O + O2
RHEA:10015	(R)-6-hydroxynicotine + H2O + O2 <=> 6-hydroxypseudooxynicotine + H2O2
RHEA:10016	H2O + O-sinapoylcholine = choline + H(+) + sinapate
RHEA:10017	H2O + O-sinapoylcholine => choline + H(+) + sinapate
RHEA:10018	choline + H(+) + sinapate => H2O + O-sinapoylcholine
RHEA:10019	H2O + O-sinapoylcholine <=> choline + H(+) + sinapate
RHEA:10020	H2O + L-saccharopine + NADP(+) = (S)-2-amino-6-oxohexanoate + H(+) + L-glutamate + NADPH
RHEA:10021	H2O + L-saccharopine + NADP(+) => (S)-2-amino-6-oxohexanoate + H(+) + L-glutamate + NADPH
RHEA:10022	(S)-2-amino-6-oxohexanoate + H(+) + L-glutamate + NADPH => H2O + L-saccharopine + NADP(+)
RHEA:10023	H2O + L-saccharopine + NADP(+) <=> (S)-2-amino-6-oxohexanoate + H(+) + L-glutamate + NADPH
RHEA:10024	[histone]-L-lysine + S-adenosyl-L-methionine = [histone]-N(6)-methyl-L-lysine + H(+) + S-adenosyl-L-homocysteine
RHEA:10025	[histone]-L-lysine + S-adenosyl-L-methionine => [histone]-N(6)-methyl-L-lysine + H(+) + S-adenosyl-L-homocysteine
RHEA:10026	[histone]-N(6)-methyl-L-lysine + H(+) + S-adenosyl-L-homocysteine => [histone]-L-lysine + S-adenosyl-L-methionine
