RHEA_ID	DIRECTION	MASTER_ID	ID
10041	LR	10040	R-HSA-176606.2
10041	LR	10040	R-HSA-8953499.2
10117	LR	10116	R-HSA-71299.2
10133	LR	10132	R-HSA-159443.2
10165	LR	10164	R-HSA-71660.2
10166	RL	10164	R-HSA-70494.2
10225	LR	10224	R-HSA-964970.1
10245	LR	10244	R-HSA-71181.3
10249	LR	10248	R-HSA-73666.2
10277	LR	10276	R-HSA-1855182.2
10301	LR	10300	R-HSA-70449.2
10302	RL	10300	R-HSA-70482.2
10349	LR	10348	R-HSA-1247935.2
10382	RL	10380	R-HSA-73567.2
10389	LR	10388	R-HSA-372819.1
10389	LR	10388	R-HSA-70241.2
10401	LR	10400	R-HSA-893616.1
10410	RL	10408	R-HSA-390224.1
10429	LR	10428	R-HSA-2161964.2
10601	LR	10600	R-HSA-2161620.2
10601	LR	10600	R-HSA-2161701.2
10657	LR	10656	R-HSA-71286.2
10717	LR	10716	R-HSA-1855178.2
10749	LR	10748	R-HSA-1237059.2
10749	LR	10748	R-HSA-1237081.1
10749	LR	10748	R-HSA-1475017.1
10749	LR	10748	R-HSA-1475022.1
10749	LR	10748	R-HSA-1475028.1
10749	LR	10748	R-HSA-1475436.1
10750	RL	10748	R-HSA-1237045.1
10750	RL	10748	R-HSA-1237047.1
10750	RL	10748	R-HSA-1475025.1
10750	RL	10748	R-HSA-1475026.2
10750	RL	10748	R-HSA-1475032.1
10750	RL	10748	R-HSA-1475435.1
10794	RL	10792	R-HSA-73806.2
10933	LR	10932	R-HSA-70577.3
10945	LR	10944	R-HSA-6788295.1
10965	LR	10964	R-HSA-5662466.1
10981	LR	10980	R-HSA-9014766.2
10994	RL	10992	R-HSA-389826.2
11021	LR	11020	R-HSA-1855153.2
11021	LR	11020	R-HSA-1855233.2
11085	LR	11084	R-HSA-5662473.1
11094	RL	11092	R-HSA-75889.2
11185	LR	11184	R-HSA-73591.2
11241	LR	11240	R-HSA-997381.1
11261	LR	11260	R-HSA-5693681.1
11261	LR	11260	R-HSA-8865107.1
11309	LR	11308	R-HSA-200555.3
11309	LR	11308	R-HSA-75851.3
11309	LR	11308	R-HSA-8876889.2
11393	LR	11392	R-HSA-1855213.2
11393	LR	11392	R-HSA-1855218.2
11533	LR	11532	R-HSA-389821.1
11577	LR	11576	R-HSA-196761.1
11597	LR	11596	R-HSA-73564.2
11601	LR	11600	R-HSA-73548.4
11602	RL	11600	R-HSA-75125.4
11613	LR	11612	R-HSA-70600.3
11614	RL	11612	R-HSA-70589.3
11681	LR	11680	R-HSA-73792.2
11685	LR	11684	R-HSA-5696213.1
11685	LR	11684	R-HSA-6800149.1
11709	LR	11708	R-HSA-73794.3
11742	RL	11740	R-HSA-3323079.1
11742	RL	11740	R-HSA-71682.3
11745	LR	11744	R-HSA-965067.1
11853	LR	11852	R-HSA-1237160.1
11857	LR	11856	R-HSA-1855185.2
11993	LR	11992	R-HSA-6783880.1
12229	LR	12228	R-HSA-70599.2
12273	LR	12272	R-HSA-209924.1
12309	LR	12308	R-HSA-70941.3
12453	LR	12452	R-HSA-1855162.2
12453	LR	12452	R-HSA-994137.2
12461	LR	12460	R-HSA-451033.2
12462	RL	12460	R-HSA-70982.2
12513	LR	12512	R-HSA-6810076.1
12526	RL	12524	R-HSA-5693347.1
12557	LR	12556	R-HSA-71296.2
12602	LR	12601	R-HSA-70952.2
12603	RL	12601	R-HSA-508561.2
12642	LR	12641	R-HSA-977348.1
12654	LR	12653	R-HSA-9012268.2
12698	LR	12697	R-HSA-73788.4
12699	RL	12697	R-HSA-110133.4
12718	LR	12717	R-HSA-1855228.2
12722	LR	12721	R-HSA-351215.1
12735	RL	12733	R-HSA-197268.2
12794	LR	12793	R-HSA-1855207.2
12794	LR	12793	R-HSA-1855227.2
12890	LR	12889	R-HSA-5661290.1
12894	LR	12893	R-HSA-2161660.2
12894	LR	12893	R-HSA-265295.2
12922	LR	12921	R-HSA-189442.2
12974	LR	12973	R-HSA-110145.3
12974	LR	12973	R-HSA-74220.4
12975	RL	12973	R-HSA-110141.4
12975	RL	12973	R-HSA-110144.3
13066	LR	13065	R-HSA-8851089.2
13070	LR	13069	R-HSA-1483222.1
13103	RL	13101	R-HSA-70903.2
13162	LR	13161	R-HSA-6798667.2
13186	LR	13185	R-HSA-189406.1
13202	LR	13201	R-HSA-71275.2
13218	LR	13217	R-HSA-888548.1
13254	LR	13253	R-HSA-1855172.2
13254	LR	13253	R-HSA-994140.2
13282	LR	13281	R-HSA-70837.2
13283	RL	13281	R-HSA-508369.2
13286	LR	13285	R-HSA-174367.2
13395	RL	13393	R-HSA-197186.3
13434	LR	13433	R-HSA-73608.3
13518	LR	13517	R-HSA-73635.3
13519	RL	13517	R-HSA-75126.3
13558	LR	13557	R-HSA-174394.3
13590	LR	13589	R-HSA-70773.3
13666	LR	13665	R-HSA-392152.2
13666	LR	13665	R-HSA-74885.2
13678	LR	13677	R-HSA-71303.3
13679	RL	13677	R-HSA-199803.2
13890	LR	13889	R-HSA-196955.2
13930	LR	13929	R-HSA-350604.1
13934	LR	13933	R-HSA-8848355.2
13942	LR	13941	R-HSA-70349.3
13978	LR	13977	R-HSA-9014741.2
14006	LR	14005	R-HSA-1614583.2
14014	LR	14013	R-HSA-176604.2
14018	LR	14017	R-HSA-8869627.1
